componentSize,frequency
2,5140
3,1838
4,919
5,452
6,255
7,142
8,78
9,64
10,45
11,34
12,24
13,30
14,18
15,20
16,10
17,8
18,5
19,6
20,7
21,6
22,3
23,3
24,3
25,2
26,5
27,2
28,2
29,4
30,3
31,1
33,4
34,1
35,4
38,3
39,1
40,1
41,4
42,6
43,3
44,2
45,6
46,3
48,1
51,2
52,2
54,2
55,2
61,1
64,1
76,1
77,3
78,3
79,1
80,1
82,2
83,1
84,4
89,1
90,1
94,1
101,1
120,2
140,1
143,1
166,1
173,1
287,1
309,1
122500,1
