componentSize,frequency
2,12520
3,4560
4,2054
5,1146
6,628
7,405
8,258
9,169
10,146
11,106
12,78
13,63
14,58
15,38
16,29
17,27
18,23
19,21
20,8
21,18
22,9
23,11
24,7
25,10
26,10
27,5
28,5
29,5
30,10
31,5
32,4
33,2
34,2
35,4
36,1
37,2
38,4
39,1
40,1
41,4
42,2
43,1
44,5
45,2
46,2
47,3
48,2
49,1
50,1
53,2
54,1
56,2
58,2
59,1
61,2
63,1
65,2
66,1
67,1
72,1
74,1
77,2
78,1
81,1
83,1
84,1
89,1
91,2
93,1
98,1
101,32
120,1
126,1
127,1
133,1
142,1
143,1
146,1
152,1
153,1
161,1
163,1
167,1
173,1
177,1
242,1
246,1
249,1
251,1
261,1
363,1
580,1
266909,1
