componentSize,frequency
2,6000
3,2359
4,1064
5,554
6,316
7,208
8,147
9,76
10,44
11,61
12,37
13,41
14,18
15,27
16,10
17,13
18,12
19,6
20,7
21,8
22,2
23,7
24,4
25,7
26,3
27,1
29,5
30,2
31,2
34,3
36,1
37,3
38,1
39,2
41,1
43,1
45,2
48,2
49,3
51,1
52,2
54,1
55,1
76,1
78,1
81,1
86,1
90,1
91,1
93,1
96,1
102,1
105,1
110,1
125,1
155,1
167,2
168,1
171,1
240,1
243,1
251,1
192360,1
