componentSize,frequency
2,3495
3,1297
4,650
5,319
6,178
7,122
8,74
9,42
10,36
11,21
12,28
13,15
14,12
15,11
16,5
17,8
18,7
19,12
20,4
21,7
22,1
23,1
24,1
25,3
26,2
27,3
28,1
29,1
30,2
31,1
37,1
39,1
40,2
41,1
45,2
46,1
49,2
53,1
54,1
57,1
65,1
68,2
82,1
87,1
98,1
113,1
120,1
150,1
202,1
357,1
1175,1
156545,1
