componentSize,frequency
2,13108
3,5324
4,2155
5,1096
6,581
7,405
8,234
9,193
10,123
11,94
12,55
13,46
14,43
15,33
16,30
17,22
18,14
19,21
20,12
21,17
22,5
23,7
24,11
25,11
26,4
27,4
28,5
29,2
30,7
31,3
32,1
33,5
34,4
35,6
36,2
37,2
38,7
39,3
40,2
41,1
43,1
44,4
46,3
47,2
48,1
50,1
52,1
56,2
57,1
60,1
63,1
67,3
68,1
69,1
70,1
77,1
79,1
81,1
82,1
84,1
88,2
94,1
99,1
101,1
102,1
110,1
111,1
113,1
115,2
120,1
121,1
130,1
131,1
132,1
137,1
147,1
151,1
207,1
287617,1
