componentSize,frequency
2,3214
3,1095
4,567
5,285
6,168
7,129
8,61
9,48
10,25
11,22
12,15
13,14
14,12
15,5
16,9
17,10
18,4
19,6
20,4
21,4
22,6
23,2
24,3
25,3
26,1
27,1
29,1
31,4
33,2
34,1
35,1
38,1
43,1
49,1
51,1
53,1
55,1
56,2
57,1
67,1
74,1
75,1
76,1
107,1
123,1
197,1
198,1
203,1
246,1
114011,1
