componentSize,frequency
2,9527
3,3291
4,1497
5,797
6,466
7,305
8,159
9,121
10,86
11,67
12,50
13,42
14,29
15,17
16,28
17,18
18,24
19,10
20,11
21,14
22,11
23,10
24,4
25,7
26,3
27,3
28,3
29,2
30,2
31,2
32,4
33,2
35,3
36,4
37,4
38,2
39,1
40,2
41,1
42,2
43,1
44,2
45,1
47,1
49,1
50,2
51,2
53,2
55,2
60,1
62,1
63,1
66,1
68,1
71,1
72,1
78,1
80,1
81,1
101,2
103,2
107,1
113,1
126,1
150,1
156,1
200,1
206,1
346,1
255798,1
