componentSize,frequency
2,12197
3,4306
4,1873
5,971
6,555
7,332
8,217
9,175
10,108
11,87
12,69
13,57
14,30
15,27
16,20
17,26
18,23
19,17
20,15
21,13
22,16
23,10
24,6
25,9
26,3
27,6
28,7
29,5
30,4
31,7
32,2
33,1
34,3
35,7
36,4
37,3
38,3
39,2
40,3
41,2
42,3
43,4
44,1
45,1
46,4
48,1
49,2
50,2
52,1
55,2
59,2
61,2
71,1
72,1
75,1
77,1
81,1
89,1
92,2
94,1
101,2
143,1
144,1
163,1
170,1
175,1
250,1
254,1
456,1
521,1
277169,1
