componentSize,frequency
2,8156
3,3570
4,1544
5,948
6,523
7,320
8,225
9,168
10,110
11,103
12,61
13,63
14,61
15,31
16,34
17,15
18,30
19,18
20,14
21,16
22,12
23,21
24,8
25,6
26,9
27,5
28,6
29,5
30,2
31,5
32,5
33,5
34,4
35,3
36,3
37,9
38,8
39,6
40,5
41,7
42,12
43,8
44,6
45,7
46,7
47,5
48,1
49,5
51,1
52,2
53,2
56,1
57,1
58,3
59,3
60,2
70,3
71,1
72,2
73,1
75,1
77,1
80,1
90,1
91,1
92,1
97,1
101,1
107,1
117,1
128,1
148,1
174,2
187,1
210,1
217,1
353,1
361,1
218218,1
