componentSize,frequency
2,11180
3,4525
4,1908
5,1107
6,628
7,434
8,304
9,187
10,181
11,120
12,102
13,83
14,59
15,56
16,29
17,40
18,25
19,20
20,23
21,95
22,23
23,20
24,13
25,12
26,17
27,12
28,6
29,8
30,5
31,11
32,5
33,6
34,3
35,5
36,4
37,1
38,2
39,3
41,7
42,1
43,2
45,1
46,3
47,1
49,1
51,2
53,1
54,2
57,1
58,2
59,1
62,2
63,3
68,2
69,1
73,1
74,1
81,1
87,1
89,1
92,1
93,1
95,1
100,1
101,2
103,1
104,1
109,1
115,1
130,1
154,1
156,1
199,1
207,1
220,1
266,1
307,1
367,1
305536,1
