componentSize,frequency
2,5008
3,2088
4,945
5,426
6,250
7,161
8,107
9,70
10,56
11,85
12,36
13,65
14,27
15,11
16,23
17,18
18,8
19,5
20,7
21,17
22,6
23,13
24,4
25,7
26,6
27,5
28,4
29,1
30,4
32,2
33,4
34,2
35,1
36,1
37,1
38,2
39,1
40,2
41,5
42,2
48,1
49,1
54,3
56,1
57,1
59,3
65,2
66,8
70,2
71,1
73,3
75,2
76,1
77,1
78,1
81,1
82,1
83,1
85,1
88,1
89,1
102,2
127,1
139,1
143,1
170,1
183,1
192,1
196,1
201,3
225,1
227,1
274,1
285,1
94738,1
141641,1
