base, 1CK6KHY6MHgYvmRQ4PAafKYDrg1ejbH1cE, 1369139491
15N67FNAcJRC5AXHq5fY8on4tYm8qiiMkj, 3CRR3Tqn42nzdxq4LLHfETG2J8D83QiaFy, 33000000
15N67FNAcJRC5AXHq5fY8on4tYm8qiiMkj, 1AEJaTcVMpUESFUbbN1mTRf5qXBVevuuhe, 167714570
1AEJaTcVMpUESFUbbN1mTRf5qXBVevuuhe, 1BmnSCYhnQFJzfiNXScm4fubgHfj1wyMeQ, 122606770
1AEJaTcVMpUESFUbbN1mTRf5qXBVevuuhe, 153X1EMRrjpy3S9D71XPpwChsQQgCZMJgP, 241029000
144quYuBXyoSXETRUna3hAQDPVgyeSSMLL, 17UW1LEbJXLagow7GE1Ukuuo6YgYLhjGM7, 63566034
144quYuBXyoSXETRUna3hAQDPVgyeSSMLL, 1CUor9Dc1EqqmomBp91LGtHKMLUAQLe8qv, 13233680
13JVDoHVmoC5T6QkVwaKtbE3dbELARuqdY, 1B5bwzhttXHuj1NBHbtLcPJq5sQirb6fzQ, 17708628273
13JVDoHVmoC5T6QkVwaKtbE3dbELARuqdY, 1FUpxZaGSAqyYb3XjTyhrAf7NBU8revhb5, 96506381
1DKdne1uLT8BWescpQ89NSmNJjA9EMP8Nm, 1F6WoHgicmY2ras1TyoCL5bLAJcDCnrXXt, 13156077
1DKdne1uLT8BWescpQ89NSmNJjA9EMP8Nm, 1DwN2tubYxuAKR5oK5aAkWwvN5LybitAQd, 1709527
1BEqAYTJWywA6ycapQrgzBNtVDpBH4nydK, 12Wh8HrWMRDFcVkkvoExZmo9phCQqB3Vvh, 5956000
1BEqAYTJWywA6ycapQrgzBNtVDpBH4nydK, 1KHcLsjdAcczzsEgbRFjUvbwcKPBVaezes, 53778960
17tCTQtjwdJBbXxzJbGLaZnHPymHXay6fh, 12C6SZMfHM1AzUBHSGEhaTnjpahxB6XXSv, 50889723947
17tCTQtjwdJBbXxzJbGLaZnHPymHXay6fh, 18b7E4jKa4xg31SgJbuK9pyU97wJP4A6cQ, 22000000
3BbDtxBSjgfTRxaBUgR2JACWRukLKtZdiQ, 34oGFAfJ2GkxCdFurJDWduDLza4JvZDAGP, 205460
3BbDtxBSjgfTRxaBUgR2JACWRukLKtZdiQ, 3BbDtxBSjgfTRxaBUgR2JACWRukLKtZdiQ, 168844197
1317YUripH52aYjULquv2m6GiNij5iUZH1, 1CAPiCCNeyVx7RKNFifpVVd78t7Kif8HZ8, 804163581
1317YUripH52aYjULquv2m6GiNij5iUZH1, 1E5nmBczpsW9TsvWpSUPTAG5Ark8EJJo1P, 96972
1DABAePLSFAkqzETMy32bLz1oir8NukRHJ, 17HJKhQR9rpEV4CWJoy8hnC8174KUc3Bfu, 94450
1DABAePLSFAkqzETMy32bLz1oir8NukRHJ, 16PgMBYU7SLnrT53rTjPcTcdacK8W49paJ, 569808854
1KxwVpkZVrmykQfjQfrR6s7HXKEcdkz1if, 1Dxnwm33VXQgcrsA47RA9ytjdD8JGFrbph, 4835868
1KxwVpkZVrmykQfjQfrR6s7HXKEcdkz1if, 37Gp5sFudDgYMckgdTobJgdJqbwCHY8Fuo, 7560000
3NGgEUJmK1EvKeYzwFBS2475ugd11CsYCa, 3A9Jo3GVt9sjfMk3RdyUDkD1XurQVcVoop, 180000000
