distance,flow
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,0.999991226783
24,8.77321725934e-06
25,8.77321725934e-06
26,8.77321725934e-06
27,8.77321725934e-06
28,8.77321725934e-06
29,8.77321725934e-06
30,8.77321725934e-06
31,8.77321725934e-06
32,8.77321725934e-06
33,8.77321725934e-06
34,8.77321725934e-06
35,8.77321725934e-06
36,8.77321725934e-06
37,8.77321725934e-06
38,8.77321725934e-06
39,8.77321725934e-06
40,8.77321725934e-06
41,8.77321725934e-06
42,8.77321725934e-06
43,8.77321725934e-06
44,8.77321725934e-06
45,8.77321725934e-06
46,8.77321725934e-06
47,8.77321725934e-06
48,8.77321725934e-06
49,8.77321725934e-06
50,8.77321725934e-06
51,8.77321725934e-06
52,8.77321725934e-06
53,8.77321725934e-06
54,8.77321725934e-06
55,8.77321725934e-06
56,8.77321725934e-06
57,8.77321725934e-06
58,8.77321725934e-06
59,8.77321725934e-06
60,8.77321725934e-06
61,8.77321725934e-06
62,8.77321725934e-06
63,8.77321725934e-06
64,8.77321725934e-06
65,8.77321725934e-06
66,8.77321725934e-06
67,8.77321725934e-06
68,8.77321725934e-06
69,8.77321725934e-06
70,8.77321725934e-06
71,8.77321725934e-06
72,8.77321725934e-06
73,8.77321725934e-06
74,8.77321725934e-06
75,8.77321725934e-06
76,8.77321725934e-06
77,8.77321725934e-06
78,8.77321725934e-06
79,8.77321725934e-06
80,8.77321725934e-06
81,8.77321725934e-06
82,8.77321725934e-06
83,8.77321725934e-06
84,8.77321725934e-06
85,8.77321725934e-06
86,8.77321725934e-06
87,8.77321725934e-06
88,8.77321725934e-06
89,8.77321725934e-06
90,8.77321725934e-06
91,8.77321725934e-06
92,8.77321725934e-06
93,8.77321725934e-06
94,8.77321725934e-06
95,8.77321725934e-06
96,8.77321725934e-06
97,8.77321725934e-06
98,8.77321725934e-06
99,8.77321725934e-06
100,8.77321725934e-06
