distance,flow
1,0.119296374053
1,0.0780014202097
1,0.0941681907122
1,0.000736139958749
2,0.823904359089
3,0.122639717544
3,0.581748879311
4,0.0576689913634
5,0.79310910187
6,0.000619564898314
6,0.000287084950616
7,0.000298784927209
8,5.70636954866e-05
8,4.942653123e-05
8,0.518687489713
9,5.94364429183e-07
9,5.36868322588e-05
9,0.28350291663
9,2.78249879862e-06
9,4.942653123e-05
10,4.84920583308e-07
10,0.0227995661175
10,5.32019116755e-05
10,0.75288815819
10,5.80696827799e-07
11,1.93063995139e-08
11,5.48039958287e-07
11,4.79281785177e-07
11,5.26538717172e-05
11,0.048694736381
11,0.0785416644634
11,0.0448134714392
11,0.000357299153154
11,0.0929363603129
11,0.0308759821391
12,1.16231214814e-08
12,0.000732687306385
12,0.00164164634989
12,0.00378234105966
12,4.66581753613e-07
12,5.36416836806e-07
12,0.0013658220878
12,0.00110900200789
12,0.0678947552778
12,5.34709176426e-05
12,3.43249289085e-09
12,0.00119805769721
12,5.42535654263e-05
12,0.000502759110521
12,0.00166934047466
12,0.0876403749194
12,0.0413247449159
12,0.000610067199216
12,2.85739381872e-08
13,2.13750016243e-09
13,3.04559317463e-09
13,9.46045812455e-09
13,9.16892262443e-06
13,8.10570203351e-06
13,1.36689999155e-05
13,9.97815497083e-07
13,3.14574998156e-10
13,1.47934058787e-12
13,2.82578838484e-08
14,2.13485008094e-09
14,3.03971056867e-09
14,2.27901486594e-06
14,0.00162976052581
14,0.00399772697218
14,2.71970894984e-06
14,6.12834524006e-13
14,1.95922741893e-12
14,1.70558124369e-12
14,6.12859888623e-13
14,5.07714755044e-10
14,2.65008149067e-12
14,2.8254472686e-08
15,2.13441370892e-09
15,3.89315261208e-14
15,3.03919998308e-09
15,0.000888891958525
15,0.000492180631685
15,0.0479752142538
15,0.00501914037662
15,2.61114996455e-12
15,4.70094671063e-13
15,1.16373353353e-12
15,1.48913274787e-12
15,2.18362239235e-13
15,5.41847710153e-13
15,2.22480572962e-09
15,4.45572382264e-10
15,5.10585597157e-13
15,2.8250647972e-08
16,3.03884240249e-09
16,0.000516279155819
16,6.13505957982e-17
16,0.0875192550058
16,1.32006132549e-13
16,1.85591654816e-14
16,5.49080075906e-17
16,9.30761177029e-13
16,2.90418109273e-15
