outDegree,frequency
1,116329
2,38231
3,2956
4,1127
5,802
6,522
7,364
8,278
9,296
10,297
11,293
12,311
13,239
14,203
15,154
16,111
17,56
18,50
19,34
20,30
21,32
22,12
23,26
24,17
25,24
26,28
27,29
28,15
29,16
30,19
31,19
32,13
33,11
34,10
35,16
36,12
37,10
38,10
39,9
40,5
41,9
42,1
43,4
44,3
45,9
46,3
47,3
48,2
49,7
50,4
51,1
52,1
53,4
54,5
55,3
56,1
58,1
59,1
60,2
61,4
62,2
63,2
64,2
65,1
66,4
67,3
68,1
69,1
72,2
73,2
74,1
75,1
76,3
77,2
78,1
79,2
81,1
82,1
83,1
87,2
91,1
98,2
101,1
104,1
112,1
121,1
130,1
131,1
140,1
161,1
192,1
224,1
236,1
314,1
404,1
