outDegree,frequency
1,192958
2,47732
3,2454
4,1356
5,841
6,546
7,379
8,256
9,162
10,104
11,61
12,49
13,24
14,17
15,16
16,17
17,11
18,7
19,17
20,7
21,4
22,4
23,3
24,2
25,4
26,3
27,3
28,2
29,7
30,2
31,2
32,5
33,1
34,4
35,2
38,2
39,1
40,1
41,2
42,1
45,1
46,3
48,2
49,2
54,1
56,1
58,1
59,4
60,4
61,15
63,1
64,3
66,1
70,1
71,1
75,1
82,1
93,1
95,1
100,1
101,1
103,1
111,1
126,1
131,1
150,1
155,1
240,1
271,1
366,1
