outDegree,frequency
1,260621
2,57402
3,3280
4,1597
5,1022
6,697
7,418
8,257
9,181
10,152
11,104
12,80
13,66
14,48
15,35
16,29
17,26
18,26
19,27
20,12
21,11
22,9
23,9
24,4
25,4
26,5
27,4
28,7
29,4
30,4
31,4
32,7
33,3
34,3
35,4
36,1
37,1
38,6
39,3
40,2
41,4
42,5
43,5
44,3
45,1
46,3
47,2
49,1
51,1
53,1
54,1
57,2
58,1
59,2
60,1
61,1
62,2
68,1
72,1
81,1
88,1
96,1
98,1
100,1
123,1
125,1
130,1
231,1
245,1
