outDegree,frequency
1,287187
2,48318
3,4056
4,2081
5,1361
6,931
7,673
8,552
9,417
10,332
11,225
12,210
13,162
14,136
15,116
16,99
17,76
18,65
19,50
20,28
21,46
22,20
23,24
24,18
25,25
26,25
27,13
28,16
29,16
30,15
31,10
32,13
33,11
34,13
35,21
36,16
37,13
38,7
39,6
40,11
41,7
42,3
43,10
44,4
45,5
46,4
47,5
48,6
49,4
50,2
51,2
52,1
53,3
54,5
55,3
56,3
57,1
58,2
60,2
61,2
62,3
64,2
65,1
66,1
68,1
71,1
72,2
73,3
76,1
77,1
80,1
82,2
83,1
85,1
87,1
89,2
90,1
91,1
93,1
94,1
95,1
96,1
100,1
101,1
104,1
109,1
110,1
117,1
140,1
141,1
143,1
144,1
155,1
191,1
196,1
239,1
242,1
245,1
249,1
288,1
324,1
327,1
418,1
424,1
