outDegree,frequency
1,120753
2,26162
3,3310
4,1473
5,1114
6,848
7,591
8,556
9,413
10,397
11,368
12,293
13,279
14,212
15,161
16,142
17,108
18,70
19,60
20,56
21,53
22,49
23,41
24,36
25,41
26,36
27,35
28,13
29,10
30,3
31,3
32,3
34,2
36,2
37,1
38,3
39,2
40,1
41,1
42,1
43,1
45,2
46,1
47,2
49,3
50,1
52,1
55,1
60,1
62,2
70,1
78,2
79,1
82,1
100,1
101,1
110,2
