inDegree,frequency
1,116090
2,17815
3,6531
4,2991
5,1786
6,1137
7,729
8,564
9,430
10,331
11,243
12,220
13,165
14,153
15,119
16,113
17,110
18,86
19,94
20,71
21,59
22,60
23,75
24,67
25,52
26,39
27,43
28,41
29,49
30,68
31,34
32,22
33,21
34,21
35,21
36,21
37,25
38,27
39,24
40,28
41,25
42,34
43,25
44,22
45,24
46,25
47,9
48,14
49,10
50,22
51,8
52,15
53,10
54,7
55,16
56,12
57,10
58,16
59,15
60,9
61,8
62,10
63,8
64,12
65,6
66,3
67,9
68,12
69,12
70,7
71,7
72,12
73,2
74,8
75,2
76,10
77,3
78,3
79,8
80,8
81,5
82,7
83,6
84,2
85,9
86,4
87,10
88,6
89,7
90,8
91,6
92,3
93,4
94,4
95,4
96,3
97,2
98,1
99,1
100,4
101,6
102,3
103,2
104,2
105,5
106,3
108,1
110,2
111,1
112,1
113,2
115,3
116,3
117,2
118,1
119,3
122,2
123,1
127,1
128,2
129,2
130,2
131,1
133,1
134,3
136,3
138,2
139,2
141,2
142,2
143,1
144,3
146,2
147,2
150,1
151,2
153,1
155,2
156,2
157,1
159,1
161,1
162,1
164,1
165,2
166,2
167,1
170,1
171,1
172,1
173,2
174,1
177,1
180,2
181,1
182,2
184,1
185,1
186,1
187,1
188,1
189,1
194,1
201,1
211,1
212,1
225,1
228,1
231,1
232,1
241,1
243,1
244,1
247,1
248,1
249,1
250,1
257,2
260,1
266,1
269,1
279,1
282,1
283,1
316,1
319,1
320,1
330,2
333,1
338,1
340,1
349,1
354,1
368,1
372,1
404,1
410,1
419,1
426,1
427,1
435,1
440,1
451,1
476,1
479,1
489,1
495,1
507,1
513,1
526,1
560,1
566,1
576,1
582,1
585,1
587,1
590,1
604,1
612,1
620,1
628,1
630,1
643,2
645,1
646,3
647,2
648,1
651,2
652,5
653,1
654,2
657,2
659,2
660,1
661,2
662,2
663,1
666,2
667,4
669,3
670,1
672,2
674,1
