inDegree,frequency
1,47089
2,23078
3,5526
4,2469
5,1555
6,1119
7,655
8,467
9,344
10,311
11,262
12,232
13,155
14,143
15,112
16,102
17,80
18,79
19,90
20,65
21,38
22,48
23,38
24,37
25,72
26,24
27,19
28,19
29,16
30,11
31,6
32,22
33,13
34,16
35,10
36,7
37,11
38,11
39,11
40,13
41,16
42,14
43,10
44,21
45,10
46,11
47,8
48,6
49,6
50,11
51,3
52,6
53,5
54,3
55,2
56,4
57,2
58,3
59,4
60,2
61,5
62,4
63,3
64,1
65,6
67,1
68,1
69,4
70,2
71,3
72,3
73,2
74,1
75,2
76,5
77,4
78,2
79,2
80,2
81,5
83,3
84,2
87,1
88,1
90,1
92,2
93,1
94,1
95,2
96,1
98,1
99,1
100,1
101,3
102,2
103,2
104,1
107,3
109,1
113,2
116,2
119,1
122,2
124,2
127,1
128,1
131,1
132,1
139,1
140,1
144,1
147,1
150,1
155,2
162,2
164,1
165,1
168,1
174,1
187,1
191,1
193,1
197,1
198,1
203,1
204,1
206,1
211,1
214,1
215,1
216,2
223,1
235,1
259,1
266,1
277,1
288,1
293,1
508,1
