InputAddresses,OutputAddresses,TransactionHash,ExpectedValue
1H6ZZpRmMnrw8ytepV3BYwMjYYnEkWDqVP,19c3AicDXAjHG15caQUUqKT87PwvF5NPBY,292986627,2400000.0
1JM98hUeVMquiRhGkaWLdVYnBwZtd2h6uB,1Q9fKNBfFksyPrbzQn1ByET9yCsRbPJ4FJ,292988034,4586541.0
1JM98hUeVMquiRhGkaWLdVYnBwZtd2h6uB,1NdWTQYRtKWRCryZAYkW5gD4g4G4vhc1Du,292988034,1864213.0
1FZgaTxwz4z8T7h8c34zPB6y42sSKas6eX,12MhGCbZuwS8NXbMBuwScfyDPeRo3XQSu2,292987730,2503626.0
1FZgaTxwz4z8T7h8c34zPB6y42sSKas6eX,1C8rkfNMWSu8HihUBmEh1vkEPcUXybsEDb,292987730,2138978.0
1PJuFobmCfKWAht6sHdRPiP2vQ4jdfAhmJ,1Nk5cDRPNt37x1ytjoALb6b5oW7a2yCQ15,292989284,6653722.0
1PJuFobmCfKWAht6sHdRPiP2vQ4jdfAhmJ,1A3AdM1bFMKJgkAhHtW33s56ivayFebCF9,292989284,528941.0
1HRt4wHkew69MKdVKZ9TR9Y45P9r96zHd5,1KaZ6MgMSCRERHpJowpXSXwvYhJ82wwcZJ,292987878,283270.184145
1HRt4wHkew69MKdVKZ9TR9Y45P9r96zHd5,1F71FPPWoRVdmiy755JRhCZzocuVduXJXP,292987878,149599.362576
1MSCgKEwCgh2fc5nRnK7Yi6r6yf6tU4FRY,1KaZ6MgMSCRERHpJowpXSXwvYhJ82wwcZJ,292987878,53341.8158553
1MSCgKEwCgh2fc5nRnK7Yi6r6yf6tU4FRY,1F71FPPWoRVdmiy755JRhCZzocuVduXJXP,292987878,28170.6374241
34oGFAfJ2GkxCdFurJDWduDLza4JvZDAGP,1B7piNSn9DrVCDw5ocpg2ug6eTx91Vir58,292989059,5460.0
1Fi6Z837XkrbzEBjv6JJgdWzdSTd94M4Yz,12Lm8LBNy1C1b5mSqK4oj3GZfpzrNFBWSv,292987413,793577700.0
1Fi6Z837XkrbzEBjv6JJgdWzdSTd94M4Yz,1GvkG3D7KKdFw9hqtrboa8wqNtEj4cyuBb,292987413,7220000.0
19Jx4WzH2FeLj2YAhk6vT4WRw6GxpRVodt,3BHGgLvJBYQqHE9xW3ir44uJCnNU2rKtJj,292986864,70000000.0
19Jx4WzH2FeLj2YAhk6vT4WRw6GxpRVodt,17hC7Q72d7JFU8XESfr41BaLUbjYLjTjCq,292986864,271309277.0
1GG2AqFeFX4wHW9wbV8HXuE1NAZX2SZi67,1BPvfgSrjJCe7eoKCXc7M9acNToED1QUfK,292988816,1925227774.0
1GG2AqFeFX4wHW9wbV8HXuE1NAZX2SZi67,14NgnQ9hF9MDroTkuesCuoRiuCkqFqG7A8,292988816,17936100.0
1C3Xcpn6XbvnJL8Lz7pverWr2tAMqLVhPm,1CFZVmsgm1Q2W6bE9Hug628nmREmddNKCu,292989346,315636000.0
1C3Xcpn6XbvnJL8Lz7pverWr2tAMqLVhPm,15U12QVMhA88w1pzHkFSjAPMMRiyUxJCKd,292989346,222967550.0
1N4wnQmBSYgH31498BYhEqv4U82nVNYGmG,1JPJsN9XVevveZLTSNW7u9cwzxfNAShx51,292988316,20000000.0
1N4wnQmBSYgH31498BYhEqv4U82nVNYGmG,19g6ixfdXV297axJSeV5JNJ3eukcckAJGV,292988316,1735546700.0
1DN5R33XzttAs5Menm3ontDDdbKdT68Koq,1A52uCecujc1xTt5CW4q3LdFT23VNZrB3F,292989010,136429311.0
1DN5R33XzttAs5Menm3ontDDdbKdT68Koq,1HEdmmaLBr1nG5RpkKn55MVhJQB3vzAJJf,292989010,79154467.0
171J2ZdRvZAmbN6DkW9QPRtGUjiNfRRVCP,1LdEWpC943isVyyH2DkM8QWDo7SLeSY4v2,292987189,100000000.0
171J2ZdRvZAmbN6DkW9QPRtGUjiNfRRVCP,1ERTsn6tzvNVQju7cDt4erYBqouqb31oRd,292987189,297574367.0
1PYysDjQQp2SQ8S2JgGU5gP5kXC8o65QjU,1uYSdr48xyp2E2UNQADJPtyTvCM2eLVUW,292987553,354005644.0
1PYysDjQQp2SQ8S2JgGU5gP5kXC8o65QjU,1PYewj4dnGnLhioxYW14RcXFa3oPmd9gUx,292987553,700000000.0
1Hhb1Fjydoq23Ce2BDBhQETJAkKtpPXYnW,1FHxh9CfMrmfME5AmoU81A3gFJCMcwrpuk,292987210,56928100.0
1Hhb1Fjydoq23Ce2BDBhQETJAkKtpPXYnW,18FKFr2unTXi5jcjJBzipt4drvNMHqxfDN,292987210,781116054.0
1PT9E2kATttLGeAU3gwZAq8MjyBdgGw5Pr,1MS5ayqBXPdJRvdxio7TrUXAoRUxvLAAmS,292988103,226318496.0
1PT9E2kATttLGeAU3gwZAq8MjyBdgGw5Pr,1ASGXpKpQs8ychFGWFcUN3vdiNLoQZXpr1,292988103,1000000.0
1BE28LoYu6k71kRHKY7WqpB3xoeNLrH44k,1GbmeMZUECU4Pbvt4ckt1Kty1V4UEt8ZSL,292989031,200000.0
1BE28LoYu6k71kRHKY7WqpB3xoeNLrH44k,12LDaMPSYYBVK1YM4psrAaQs8kpdnqiK9T,292989031,3295930.0
1AqUTSTGB6coR5AYcwFFM6nXoULapXqtdL,1AqUTSTGB6coR5AYcwFFM6nXoULapXqtdL,292988298,643440.0
1CxeArrcw5AiH6YAWZBAsgJXCuXR6ffdbg,1MrbWmqA84cwjutjV7YpnGnax1YY7FcRCA,292989228,734531.386941
1CxeArrcw5AiH6YAWZBAsgJXCuXR6ffdbg,1H4pcENr8ZVRxdc5jjLnNLALeFvDKnTJ28,292989228,62670.0949376
1FfQF8bCqy5DQr498VreGgmPjdW3kTaiVW,1MrbWmqA84cwjutjV7YpnGnax1YY7FcRCA,292989228,12769081.6131
1FfQF8bCqy5DQr498VreGgmPjdW3kTaiVW,1H4pcENr8ZVRxdc5jjLnNLALeFvDKnTJ28,292989228,1089455.90506
1G5PD1zARk8iuez25ca7ZwRp7ixRPw39tx,1QA94qen8YjLm5KaoeFhB9jw4ebY1H6k5P,292988876,331400.0
1G5PD1zARk8iuez25ca7ZwRp7ixRPw39tx,1GZE79zXTgLqmqZuCMoNe62U34XPYA99Aw,292988876,2505681.0
1JZoepaEMZUfoywGD4DLrWgCuZgtwSs9z1,3BMEXfnbKtXmK7R7Uxt7C5hWH92fcBwr2y,292988248,49905000.0
1JZoepaEMZUfoywGD4DLrWgCuZgtwSs9z1,1yowuLBJN5kEbqcp32We6tumu6awgfr8s,292988248,1542699072.0
1MX8X9vXp3DcErSB2xHmGrmf9U7g6KrW7C,1Ju3nK1pjyVuQqAVN4dVNKQ7cq3jAfZgte,292987442,5227931.41851
1MX8X9vXp3DcErSB2xHmGrmf9U7g6KrW7C,1AzN6W2y1Qd5EBMwWdfhEFFRPxsNPvSBwB,292987442,103705.629151
1PqAsmQWeHfPidYjmjphNpc974JnuxnHWU,1Ju3nK1pjyVuQqAVN4dVNKQ7cq3jAfZgte,292987442,84104198.5815
